time,time,turbidity,pH
2021-01-01 20:51:55.725247+00:00,2021-01-01 20:51:55.725247+00:00,67.09417621,7.36
2021-01-01 21:22:11.793013+00:00,2021-01-01 21:22:11.793013+00:00,65.41993901,7.35
2021-01-01 21:52:27.845325+00:00,2021-01-01 21:52:27.845325+00:00,63.74570181,7.36
2021-01-01 22:22:43.913869+00:00,2021-01-01 22:22:43.913869+00:00,62.07146461,7.36
2021-01-01 22:52:59.963232+00:00,2021-01-01 22:52:59.963232+00:00,60.39722741,7.35
2021-01-01 23:23:16.028656+00:00,2021-01-01 23:23:16.028656+00:00,58.72299021,7.35
2021-01-01 23:53:32.106352+00:00,2021-01-01 23:53:32.106352+00:00,57.04875301,7.38
2021-01-02 00:23:48.152274+00:00,2021-01-02 00:23:48.152274+00:00,50.09417621,7.35
2021-01-02 00:54:04.232075+00:00,2021-01-02 00:54:04.232075+00:00,51.85615918,7.35
2021-01-02 01:24:20.292412+00:00,2021-01-02 01:24:20.292412+00:00,47.73466229,7.35
2021-01-02 01:54:36.343936+00:00,2021-01-02 01:54:36.343936+00:00,43.6131654,7.36
2021-01-02 02:24:52.409492+00:00,2021-01-02 02:24:52.409492+00:00,39.49166851,7.35
2021-01-02 02:55:08.469556+00:00,2021-01-02 02:55:08.469556+00:00,51.85615918,7.36
2021-01-02 03:25:24.517441+00:00,2021-01-02 03:25:24.517441+00:00,47.73466229,7.35
2021-01-02 03:55:40.601779+00:00,2021-01-02 03:55:40.601779+00:00,43.6131654,7.35
2021-01-02 04:25:56.649471+00:00,2021-01-02 04:25:56.649471+00:00,39.49166851,7.36
2021-01-02 04:56:12.732646+00:00,2021-01-02 04:56:12.732646+00:00,51.85615918,7.35
2021-01-02 05:26:28.761957+00:00,2021-01-02 05:26:28.761957+00:00,47.73466229,7.35
2021-01-02 05:56:44.850041+00:00,2021-01-02 05:56:44.850041+00:00,43.6131654,7.34
2021-01-02 06:57:16.963602+00:00,2021-01-02 06:57:16.963602+00:00,39.49166851,7.35
2021-01-02 07:27:33.024504+00:00,2021-01-02 07:27:33.024504+00:00,35.37017162,7.35
2021-01-03 10:33:12.844126+00:00,2021-01-03 10:33:12.844126+00:00,1000.0,7.35
2021-01-03 17:15:35.217355+00:00,2021-01-03 17:15:35.217355+00:00,1000.0,7.34
