,time,data_rate,rssi,sensor,snr
290,2019-10-25 11:02:52.336292096+00:00,SF12BW125,-103,node2,5.0
291,2019-10-25 11:03:13.579698944+00:00,SF12BW125,-107,node3,0.2
292,2019-10-25 11:03:36.958452992+00:00,SF12BW125,-89,node1,8.0
293,2019-10-25 11:03:58.448761856+00:00,SF12BW125,-102,node2,5.5
294,2019-10-25 11:04:19.714590976+00:00,SF12BW125,-113,node3,-3.0
295,2019-10-25 11:05:25.814099968+00:00,SF12BW125,-109,node3,-0.8
296,2019-10-25 11:06:10.690846976+00:00,SF12BW125,-109,node2,1.5
297,2019-10-25 11:06:31.938600960+00:00,SF12BW125,-110,node3,-0.2
298,2019-10-25 11:07:16.842443008+00:00,SF12BW125,-102,node2,4.5
299,2019-10-25 11:07:38.053488896+00:00,SF12BW125,-109,node3,-0.2
300,2019-10-25 11:08:22.922931968+00:00,SF12BW125,-103,node2,3.8
301,2019-10-25 11:09:29.033509888+00:00,SF12BW125,-102,node2,4.5
302,2019-10-25 11:09:50.283579136+00:00,SF12BW125,-112,node3,-1.2
303,2019-10-25 11:10:35.160675072+00:00,SF12BW125,-102,node2,4.0
304,2019-10-25 11:10:56.410647040+00:00,SF12BW125,-111,node3,-1.5
305,2019-10-25 11:12:02.519545088+00:00,SF12BW125,-109,node3,-0.8
306,2019-10-25 11:12:47.399661056+00:00,SF12BW125,-103,node2,4.2
307,2019-10-25 11:13:08.638376960+00:00,SF12BW125,-105,node3,-0.5
308,2019-10-25 11:13:53.507031808+00:00,SF12BW125,-103,node2,3.2
309,2019-10-25 11:14:14.757762048+00:00,SF12BW125,-109,node3,0.5
310,2019-10-25 11:14:59.627502848+00:00,SF12BW125,-102,node2,4.2
311,2019-10-25 11:15:20.872192+00:00,SF12BW125,-113,node3,-0.5
312,2019-10-25 11:16:05.745124096+00:00,SF12BW125,-103,node2,4.0
313,2019-10-25 11:17:33.108544+00:00,SF12BW125,-109,node3,-0.5
314,2019-10-25 11:18:17.971719936+00:00,SF12BW125,-102,node2,3.2
315,2019-10-25 11:18:39.251981056+00:00,SF12BW125,-109,node3,-0.5
316,2019-10-25 11:19:24.090894080+00:00,SF12BW125,-102,node2,5.0
317,2019-10-25 11:19:45.341500928+00:00,SF12BW125,-109,node3,-1.2
318,2019-10-25 11:20:30.206150144+00:00,SF12BW125,-103,node2,5.5
319,2019-10-25 11:21:36.325169152+00:00,SF12BW125,-103,node2,3.2
320,2019-10-25 11:21:57.571800832+00:00,SF12BW125,-112,node3,-1.0
321,2019-10-25 11:22:42.442768128+00:00,SF12BW125,-103,node2,4.2
322,2019-10-25 11:23:03.688449024+00:00,SF12BW125,-114,node3,-7.2
323,2019-10-25 11:23:48.561976832+00:00,SF12BW125,-101,node2,4.8
324,2019-10-25 11:24:09.811748864+00:00,SF12BW125,-111,node3,-1.0
325,2019-10-25 11:24:54.677619968+00:00,SF12BW125,-102,node2,4.8
326,2019-10-25 11:25:15.927889152+00:00,SF12BW125,-111,node3,-1.0
327,2019-10-25 11:26:22.042980864+00:00,SF12BW125,-110,node3,-1.8
328,2019-10-25 11:27:06.917416960+00:00,SF12BW125,-103,node2,4.8
329,2019-10-25 11:27:28.163243008+00:00,SF12BW125,-108,node3,0.5
330,2019-10-25 11:28:13.034320128+00:00,SF12BW125,-105,node2,3.8
331,2019-10-25 11:28:34.274928128+00:00,SF12BW125,-109,node3,0.2
332,2019-10-25 11:29:19.149219072+00:00,SF12BW125,-102,node2,4.0
333,2019-10-25 11:29:40.389659904+00:00,SF12BW125,-109,node3,-4.2
334,2019-10-25 11:30:25.262587136+00:00,SF12BW125,-103,node2,5.5
335,2019-10-25 11:30:46.506447104+00:00,SF12BW125,-108,node3,-2.2
336,2019-10-25 11:31:31.383304960+00:00,SF12BW125,-103,node2,3.2
337,2019-10-25 11:31:52.628226048+00:00,SF12BW125,-111,node3,-11.0
338,2019-10-25 11:32:37.499644928+00:00,SF12BW125,-103,node2,3.5
339,2019-10-25 11:32:58.742324224+00:00,SF12BW125,-109,node3,-1.0
340,2019-10-25 11:33:43.614021120+00:00,SF12BW125,-103,node2,3.8
341,2019-10-25 11:34:04.862670848+00:00,SF12BW125,-109,node3,0.0
342,2019-10-25 11:34:49.734955008+00:00,SF12BW125,-103,node2,5.5
343,2019-10-25 11:35:10.980513024+00:00,SF12BW125,-111,node3,-1.2
344,2019-10-25 11:35:55.851891968+00:00,SF12BW125,-103,node2,3.8
